2026-04-01 11:02:24 [info     ] cgu_collector_init             num_keys=7 rpm_per_key=400 total_rpm=2800
2026-04-01 11:03:13 [warning  ] rate_limit_or_auth_retry       codigo=180073000012020NS001244 retry=1 status=401
2026-04-01 11:03:13 [warning  ] rate_limit_or_auth_retry       codigo=180073000012021NS001221 retry=1 status=401
2026-04-01 11:03:14 [warning  ] rate_limit_or_auth_retry       codigo=115406204152020NE800006 retry=1 status=401
2026-04-01 11:03:15 [warning  ] rate_limit_or_auth_retry       codigo=115406204152023NS018863 retry=1 status=401
2026-04-01 11:03:15 [warning  ] rate_limit_or_auth_retry       codigo=533013532022023NS002500 retry=2 status=401
2026-04-01 11:03:15 [warning  ] rate_limit_or_auth_retry       codigo=160002000012020NS004193 retry=1 status=401
2026-04-01 11:03:16 [warning  ] rate_limit_or_auth_retry       codigo=160002000012021OB800773 retry=1 status=401
2026-04-01 11:03:16 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022NS000982 retry=1 status=401
2026-04-01 11:03:17 [warning  ] rate_limit_or_auth_retry       codigo=115406204152020NE800006 retry=2 status=401
2026-04-01 11:03:17 [warning  ] rate_limit_or_auth_retry       codigo=180073000012020OB800240 retry=1 status=401
2026-04-01 11:03:17 [warning  ] rate_limit_or_auth_retry       codigo=180006000012022NS002281 retry=1 status=401
2026-04-01 11:03:18 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE865164 retry=1 status=401
2026-04-01 11:03:18 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NE654858 retry=1 status=401
2026-04-01 11:03:19 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NE800472 retry=1 status=401
2026-04-01 11:03:19 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005291 retry=1 status=401
2026-04-01 11:03:20 [warning  ] rate_limit_or_auth_retry       codigo=130141000012023DF800014 retry=1 status=401
2026-04-01 11:03:20 [warning  ] rate_limit_or_auth_retry       codigo=130141000012023NS004405 retry=1 status=401
2026-04-01 11:03:21 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE865164 retry=2 status=401
2026-04-01 11:03:21 [warning  ] rate_limit_or_auth_retry       codigo=160536000012021NS000395 retry=1 status=401
2026-04-01 11:03:22 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022OB800573 retry=1 status=401
2026-04-01 11:03:22 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811089 retry=1 status=401
2026-04-01 11:03:22 [warning  ] rate_limit_or_auth_retry       codigo=158156264252020NS003917 retry=1 status=401
2026-04-01 11:03:23 [warning  ] rate_limit_or_auth_retry       codigo=158156264252021NS000031 retry=1 status=401
2026-04-01 11:03:24 [warning  ] rate_limit_or_auth_retry       codigo=154044152612020NS005403 retry=1 status=401
2026-04-01 11:03:24 [warning  ] rate_limit_or_auth_retry       codigo=330013000012020NE441052 retry=1 status=401
2026-04-01 11:03:25 [warning  ] rate_limit_or_auth_retry       codigo=330013000012020NS008187 retry=1 status=401
2026-04-01 11:03:25 [warning  ] rate_limit_or_auth_retry       codigo=330013000012021OB803989 retry=1 status=401
2026-04-01 11:03:26 [warning  ] rate_limit_or_auth_retry       codigo=530001000012020NS005193 retry=1 status=401
2026-04-01 11:03:26 [warning  ] rate_limit_or_auth_retry       codigo=175004000012023OB801333 retry=1 status=401
2026-04-01 11:03:27 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NE801329 retry=1 status=401
2026-04-01 11:03:27 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005219 retry=1 status=401
2026-04-01 11:03:27 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE809921 retry=1 status=401
2026-04-01 11:03:28 [warning  ] rate_limit_or_auth_retry       codigo=533013532022020NS004020 retry=1 status=401
2026-04-01 11:03:28 [warning  ] rate_limit_or_auth_retry       codigo=330013000012021OB803989 retry=2 status=401
2026-04-01 11:03:29 [warning  ] rate_limit_or_auth_retry       codigo=533013532022020NE800305 retry=1 status=401
2026-04-01 11:03:29 [warning  ] rate_limit_or_auth_retry       codigo=175004000012023OB801333 retry=2 status=401
2026-04-01 11:03:29 [warning  ] rate_limit_or_auth_retry       codigo=200330000012021OB800773 retry=1 status=401
2026-04-01 11:03:30 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005229 retry=1 status=401
2026-04-01 11:03:31 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE809921 retry=2 status=401
2026-04-01 11:03:31 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE805291 retry=1 status=401
2026-04-01 11:03:32 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021DF800036 retry=1 status=401
2026-04-01 11:03:32 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021OB800305 retry=1 status=401
2026-04-01 11:03:33 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021DF800095 retry=1 status=401
2026-04-01 11:03:33 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE816977 retry=1 status=401
2026-04-01 11:03:33 [warning  ] rate_limit_or_auth_retry       codigo=175004000012020NS041723 retry=1 status=401
2026-04-01 11:03:34 [warning  ] rate_limit_or_auth_retry       codigo=175004000012022OB800763 retry=1 status=401
2026-04-01 11:03:35 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021DF800036 retry=2 status=401
2026-04-01 11:03:35 [warning  ] rate_limit_or_auth_retry       codigo=175004000012024OB001310 retry=1 status=401
2026-04-01 11:03:35 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NE654889 retry=1 status=401
2026-04-01 11:03:36 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NS060857 retry=1 status=401
2026-04-01 11:03:36 [warning  ] rate_limit_or_auth_retry       codigo=180074000012020NE800014 retry=1 status=401
2026-04-01 11:03:37 [warning  ] rate_limit_or_auth_retry       codigo=180074000012022NS000018 retry=1 status=401
2026-04-01 11:03:37 [warning  ] rate_limit_or_auth_retry       codigo=180074000012023OB800039 retry=1 status=401
2026-04-01 11:03:38 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NE801068 retry=1 status=401
2026-04-01 11:03:38 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NE802155 retry=1 status=401
2026-04-01 11:03:39 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005201 retry=1 status=401
2026-04-01 11:03:39 [warning  ] rate_limit_or_auth_retry       codigo=180074000012020NE800014 retry=2 status=401
2026-04-01 11:03:40 [warning  ] rate_limit_or_auth_retry       codigo=130141000012022NS001629 retry=1 status=401
2026-04-01 11:03:41 [warning  ] rate_limit_or_auth_retry       codigo=180074000012023OB800039 retry=2 status=401
2026-04-01 11:03:41 [warning  ] rate_limit_or_auth_retry       codigo=440001000012021NS003076 retry=1 status=401
2026-04-01 11:03:41 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE821871 retry=1 status=401
2026-04-01 11:03:42 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NS042705 retry=1 status=401
2026-04-01 11:03:42 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005201 retry=2 status=401
2026-04-01 11:03:42 [info     ] progresso_backfill             atualizados=558 erros=1 eta_min=925.6 pct=0.1% processed=1000 rate=13.1/s total=730555 zeros=441
2026-04-01 11:03:43 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800054 retry=1 status=401
2026-04-01 11:03:43 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021NS003099 retry=1 status=401
2026-04-01 11:03:44 [warning  ] rate_limit_or_auth_retry       codigo=110594000012023OB800223 retry=1 status=401
2026-04-01 11:03:45 [warning  ] rate_limit_or_auth_retry       codigo=250107000012020NS004138 retry=1 status=401
2026-04-01 11:03:45 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811086 retry=1 status=401
2026-04-01 11:03:46 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800054 retry=2 status=401
2026-04-01 11:03:46 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NS003742 retry=1 status=401
