codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
202339620013,2023,Emenda Individual - Transferências com Finalidade Definida,DR. LEONARDO,DR. LEONARDO,0013,MATO GROSSO (UF),Saúde,Atenção básica,"243.879,00","0,00","0,00","0,00","0,00","243.879,00"
202341100003,2023,Emenda Individual - Transferências com Finalidade Definida,JULIO CESAR RIBEIRO,JULIO CESAR RIBEIRO,0003,Nacional,Defesa nacional,Defesa terrestre,"243.982,49","109.122,49","109.122,49","1,00","0,00","124.860,00"
202339420013,2023,Emenda Individual - Transferências com Finalidade Definida,CHRIS TONIETTO,CHRIS TONIETTO,0013,RIO DE JANEIRO - RJ,Defesa nacional,Atenção básica,"243.995,90","243.995,90","243.995,90","0,00","0,00","0,00"
202390320002,2023,Emenda Individual - Transferências com Finalidade Definida,RUI FALCAO,RUI FALCAO,0002,SÃO PAULO (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","244.178,42","2.047,00","2.047,00","5.604,00","0,00","236.527,42"
202339770010,2023,Emenda Individual - Transferências com Finalidade Definida,ENRICO MISASI,ENRICO MISASI,0010,QUINTANA - SP,Direitos da cidadania,"Direitos individuais, coletivos e difusos","244.178,42","0,00","0,00","5.604,00","0,00","238.574,42"
202339620014,2023,Emenda Individual - Transferências com Finalidade Definida,DR. LEONARDO,DR. LEONARDO,0014,MÚLTIPLO,Saúde,Atenção básica,"244.297,00","199.956,00","199.956,00","37.147,00","0,00","7.194,00"
202336610007,2023,Emenda Individual - Transferências com Finalidade Definida,HENRIQUE FONTANA,HENRIQUE FONTANA,0007,RIO GRANDE DO SUL (UF),Educação,Ensino profissional,"244.313,34","0,00","0,00","0,00","0,00","244.313,34"
202339620009,2023,Emenda Individual - Transferências com Finalidade Definida,DR. LEONARDO,DR. LEONARDO,0009,MÚLTIPLO,Saúde,Atenção básica,"244.316,00","149.965,00","149.965,00","0,00","0,00","94.351,00"
202324570011,2023,Emenda Individual - Transferências com Finalidade Definida,RAUL HENRY,RAUL HENRY,0011,Nacional,Defesa nacional,Defesa terrestre,"244.327,61","73.717,61","73.717,61","44.824,78","0,00","125.785,22"
202339170007,2023,Emenda Individual - Transferências com Finalidade Definida,BENES LEOCADIO,BENES LEOCADIO,0007,RIO GRANDE DO NORTE (UF),Educação,Ensino superior,"244.350,00","38.060,00","38.060,00","0,00","0,00","206.290,00"
